model,norm,epsilon,verification_rate,runs,avg_time_s,avg_mem_mb
conv,2.0,0.01,0.0,1,0.0022864341735839,566.3828125
conv,2.0,0.05,0.0,1,0.0022838115692138,566.3828125
conv,2.0,0.1,0.0,1,0.0022642612457275,566.3828125
conv,2.0,0.2,0.0,1,0.0022938251495361,566.3828125
conv,inf,0.01,0.0,1,0.0120327472686767,566.3828125
conv,inf,0.05,0.0,1,0.0022311210632324,566.3828125
conv,inf,0.1,0.0,1,0.0022571086883544,566.3828125
conv,inf,0.2,0.0,1,0.0021936893463134,566.3828125
linear,2.0,0.01,0.0,1,0.0005745887756347,558.1328125
linear,2.0,0.05,0.0,1,0.0005569458007812,558.1328125
linear,2.0,0.1,0.0,1,0.0005536079406738,558.1328125
linear,2.0,0.2,0.0,1,0.0005648136138916,558.1328125
linear,inf,0.01,0.0,1,0.0005791187286376,558.1328125
linear,inf,0.05,0.0,1,0.0004999637603759,558.1328125
linear,inf,0.1,0.0,1,0.0005168914794921,558.1328125
linear,inf,0.2,0.0,1,0.0005185604095458,558.1328125
tiny,2.0,0.01,1.0,1,0.0156798362731933,557.6171875
tiny,2.0,0.05,1.0,1,0.0155887603759765,557.6171875
tiny,2.0,0.1,1.0,1,0.0156493186950683,557.6171875
tiny,2.0,0.2,1.0,1,0.0156455039978027,557.6171875
tiny,inf,0.01,1.0,1,0.0646123886108398,557.10546875
tiny,inf,0.05,1.0,1,0.0159165859222412,557.36328125
tiny,inf,0.1,1.0,1,0.0156617164611816,557.36328125
tiny,inf,0.2,0.0,1,0.0156941413879394,557.36328125
