model,norm,epsilon,verification_rate,runs,avg_time_s,avg_mem_mb
conv,2.0,0.01,0.0,1,0.0017313957214355,18.17578125
conv,2.0,0.05,0.0,1,0.0019190311431884,18.17578125
conv,2.0,0.1,0.0,1,0.0019187927246093,18.17578125
conv,2.0,0.2,0.0,1,0.0019192695617675,18.17578125
conv,inf,0.01,0.0,1,0.071976900100708,18.17578125
conv,inf,0.05,0.0,1,0.0020344257354736,18.17578125
conv,inf,0.1,0.0,1,0.00169038772583,18.17578125
conv,inf,0.2,0.0,1,0.0016853809356689,18.17578125
linear,2.0,0.01,0.0,1,0.0011601448059082,17.57470703125
linear,2.0,0.05,0.0,1,0.0011615753173828,17.57470703125
linear,2.0,0.1,0.0,1,0.0011634826660156,17.57470703125
linear,2.0,0.2,0.0,1,0.0011694431304931,17.57470703125
linear,inf,0.01,0.0,1,0.0018517971038818,17.57080078125
linear,inf,0.05,0.0,1,0.0013453960418701,17.57080078125
linear,inf,0.1,0.0,1,0.0011622905731201,17.57080078125
linear,inf,0.2,0.0,1,0.0011332035064697,17.57080078125
tiny,2.0,0.01,1.0,1,0.0502848625183105,17.2587890625
tiny,2.0,0.05,1.0,1,0.0234529972076416,17.2587890625
tiny,2.0,0.1,1.0,1,0.02341890335083,17.2587890625
tiny,2.0,0.2,1.0,1,0.0230162143707275,17.2587890625
tiny,inf,0.01,1.0,1,0.2413971424102783,17.2587890625
tiny,inf,0.05,1.0,1,0.0244219303131103,17.2587890625
tiny,inf,0.1,1.0,1,0.023191213607788,17.2587890625
tiny,inf,0.2,0.0,1,0.0229697227478027,17.2587890625
